Turn,Metric,Base LLM,RAG Enhanced,KAAG Enhanced
1,context_score,0.0,0.0,0.0
1,adaptation_score,0.0,0.0,0.0
1,inference_score,0.65,0.7472727272727272,0.9700000000000001
1,steerability_score,0.8333333333333334,0.6666666666666666,0.6666666666666666
2,context_score,0.0,0.0,0.0
2,adaptation_score,0.0,0.0,0.0
2,inference_score,0.7447727272727273,0.9672727272727273,0.9615584415584415
2,steerability_score,1.0,0.875,0.625
3,context_score,0.0,0.0,0.0
3,adaptation_score,0.0,0.0,0.0
3,inference_score,0.9333333333333333,0.85,0.8791666666666667
3,steerability_score,1.0,0.8181818181818181,0.8181818181818181
4,context_score,0.0,0.0,0.0
4,adaptation_score,0.0,0.0,0.0
4,inference_score,0.495,0.6343939393939394,0.6133333333333334
4,steerability_score,0.9166666666666666,0.75,1.0
5,context_score,0.0,0.0,0.0
5,adaptation_score,0.0,0.0,0.0
5,inference_score,0.9265873015873015,0.8255238095238095,0.8985260770975056
5,steerability_score,0.7058823529411764,0.6470588235294117,0.7058823529411764
6,context_score,0.0,0.0,0.0
6,adaptation_score,0.0,0.0,0.0
6,inference_score,0.9049242424242424,0.7833333333333333,0.9451388888888889
6,steerability_score,0.875,0.875,0.875
7,context_score,0.0,0.0,0.0
7,adaptation_score,0.0,0.0,0.0
7,inference_score,0.9301190476190476,0.9534523809523809,0.9290584415584415
7,steerability_score,0.8125,0.75,0.875
8,context_score,0.0,0.0,0.0
8,adaptation_score,0.0,0.0,0.0
8,inference_score,0.8870370370370371,0.8105952380952381,0.8670555555555556
8,steerability_score,0.7272727272727273,0.6363636363636364,0.2727272727272727
9,context_score,0.0,0.0,0.0
9,adaptation_score,0.0,0.0,0.0
9,inference_score,0.9118421052631579,0.9482142857142857,0.9451388888888889
9,steerability_score,0.6363636363636364,0.9090909090909091,0.8181818181818182
10,context_score,0.0,0.0,0.0
10,adaptation_score,0.0,0.0,0.0
10,inference_score,0.8333333333333334,0.8390109890109891,0.9931428571428571
10,steerability_score,0.5,0.625,0.875
11,context_score,0.0,0.0,0.0
11,adaptation_score,0.0,0.0,0.0
11,inference_score,0.7583333333333333,0.7972222222222223,0.9223308270676691
11,steerability_score,1.0,1.0,1.0
12,context_score,0.0,0.0,0.0
12,adaptation_score,0.0,0.0,0.0
12,inference_score,0.5599999999999999,0.8416666666666667,0.8607843137254902
12,steerability_score,0.8333333333333334,1.0,0.8333333333333334
13,context_score,0.0,0.0,0.0
13,adaptation_score,0.0,0.0,0.0
13,inference_score,0.7305555555555556,0.8038888888888889,0.8647435897435898
13,steerability_score,1.0,1.0,1.0
